NETWORK STATION CHANNEL START_TIME START_TIME_MINUTES END_TIME END_TIME_MINUTES LAT LON ELEVATION DEPTH AZIMUTH DIP SAMPLE_RATE days
7D FN08C HH2 2013-09-02 11:58:00 2014-06-30 05:34:57 46.888699 -124.875999 -176.0 0.0 0.0 0.0 125.0 301.0
7D FN08C HHZ 2013-09-02 11:58:00 2014-06-30 05:34:57 46.888699 -124.875999 -176.0 0.0 0.0 -90.0 125.0 301.0
7D FN09C HH1 2013-09-02 15:56:00 2014-07-01 03:46:53 46.840199 -124.887199 -198.0 0.0 0.0 0.0 125.0 302.0
7D FN09C HH2 2013-09-02 15:56:00 2014-07-01 03:46:53 46.840199 -124.887199 -198.0 0.0 0.0 0.0 125.0 302.0
7D FN09C HHZ 2013-09-02 15:56:00 2014-07-01 03:46:53 46.840199 -124.887199 -198.0 0.0 0.0 -90.0 125.0 302.0
7D FN10C HH1 2013-09-02 18:51:00 2013-12-12 03:20:09 46.898102 -124.9935 -811.0 0.0 0.0 0.0 125.0 101.0
7D FN10C HH2 2013-09-02 18:51:00 2013-12-12 03:20:09 46.898102 -124.9935 -811.0 0.0 0.0 0.0 125.0 101.0
7D FN10C HHZ 2013-09-02 18:51:00 2013-12-12 03:20:09 46.898102 -124.9935 -811.0 0.0 0.0 -90.0 125.0 101.0
7D FN11C HH1 2013-09-04 11:28:00 2014-06-26 18:29:03 46.820499 -125.045403 -619.0 0.0 0.0 0.0 125.0 295.0
7D FN11C HH2 2013-09-04 11:28:00 2014-06-26 18:29:03 46.820499 -125.045403 -619.0 0.0 0.0 0.0 125.0 295.0
7D FN11C HHZ 2013-09-04 11:28:00 2014-06-26 18:29:03 46.820499 -125.045403 -619.0 0.0 0.0 -90.0 125.0 295.0
7D FN12A HH1 2011-07-27 05:01:00 2012-07-20 12:01:48 46.8885 -125.119202 -650.0 0.0 0.0 0.0 125.0 359.0
7D FN12A HH2 2011-07-27 05:01:00 2012-07-20 12:01:48 46.8885 -125.119202 -650.0 0.0 0.0 0.0 125.0 359.0
7D FN12A HHZ 2011-07-27 05:01:00 2012-07-20 12:01:48 46.8885 -125.119202 -650.0 0.0 0.0 -90.0 125.0 359.0
7D FN12C HH1 2013-09-04 08:24:00 2014-06-30 21:31:02 46.888699 -125.119003 -656.0 0.0 0.0 0.0 125.0 299.0
7D FN12C HH2 2013-09-04 08:24:00 2014-06-30 21:31:02 46.888699 -125.119003 -656.0 0.0 0.0 0.0 125.0 299.0
7D FN12C HHZ 2013-09-04 08:24:00 2014-06-30 21:31:02 46.888699 -125.119003 -656.0 0.0 0.0 -90.0 125.0 299.0
7D FN13C HH1 2013-09-05 11:23:00 2014-06-28 08:47:21 47.000401 -125.301102 -1764.0 0.0 0.0 0.0 125.0 296.0
7D FN13C HH2 2013-09-05 11:23:00 2014-06-28 08:47:21 47.000401 -125.301102 -1764.0 0.0 0.0 0.0 125.0 296.0
7D FN13C HHZ 2013-09-05 11:23:00 2014-06-28 08:47:21 47.000401 -125.301102 -1764.0 0.0 0.0 -90.0 125.0 296.0
7D FN14A HH1 2011-07-31 20:28:00 2012-07-20 05:54:43 47.024799 -124.964699 -173.0 0.0 0.0 0.0 125.0 355.0
7D FN14A HH2 2011-07-31 20:28:00 2012-07-20 05:54:43 47.024799 -124.964699 -173.0 0.0 0.0 0.0 125.0 355.0
7D FN14A HHZ 2011-07-31 20:28:00 2012-07-20 05:54:43 47.024799 -124.964699 -173.0 0.0 0.0 -90.0 125.0 355.0
7D FN14C HH1 2013-09-03 18:59:00 2014-06-26 21:50:35 47.024899 -124.964203 -173.0 0.0 0.0 0.0 125.0 296.0
7D FN14C HH2 2013-09-03 18:59:00 2014-06-26 21:50:35 47.024899 -124.964203 -173.0 0.0 0.0 0.0 125.0 296.0
7D FN14C HHZ 2013-09-03 18:59:00 2014-06-26 21:50:35 47.024899 -124.964203 -173.0 0.0 0.0 -90.0 125.0 296.0
7D FN16A HH1 2011-10-17 21:58:30 2012-07-21 10:23:11 46.799599 -125.516098 -1907.0 0.0 0.0 0.0 125.0 278.0
7D FN16A HH2 2011-10-17 21:58:30 2012-07-21 10:23:11 46.799599 -125.516098 -1907.0 0.0 0.0 0.0 125.0 278.0
7D FN16A HHZ 2011-10-17 21:58:30 2012-07-21 10:23:11 46.799599 -125.516098 -1907.0 0.0 0.0 -90.0 125.0 278.0
7D FN16C HH1 2013-09-05 08:06:00 2014-06-30 18:31:01 46.800499 -125.500099 -1728.0 0.0 0.0 0.0 125.0 298.0
7D FN16C HH2 2013-09-05 08:06:00 2014-06-30 18:31:01 46.800499 -125.500099 -1728.0 0.0 0.0 0.0 125.0 298.0
7D FN16C HHZ 2013-09-05 08:06:00 2014-06-30 18:31:01 46.800499 -125.500099 -1728.0 0.0 0.0 -90.0 125.0 298.0
7D FN17C HH1 2013-09-04 15:24:00 2014-06-01 11:28:13 46.681599 -125.000504 -1015.0 0.0 0.0 0.0 125.0 270.0
7D FN17C HH2 2013-09-04 15:24:00 2014-06-01 11:28:13 46.681599 -125.000504 -1015.0 0.0 0.0 0.0 125.0 270.0
7D FN17C HHZ 2013-09-04 15:24:00 2014-06-01 11:28:13 46.681599 -125.000504 -1015.0 0.0 0.0 -90.0 125.0 270.0
7D FN18A HH1 2011-07-30 15:40:00 2012-07-18 06:31:31 46.699799 -124.7248 -163.0 0.0 0.0 0.0 125.0 354.0
7D FN18A HH2 2011-07-30 15:40:00 2012-07-18 06:31:31 46.699799 -124.7248 -163.0 0.0 0.0 0.0 125.0 354.0
7D FN18A HHZ 2011-07-30 15:40:00 2012-07-18 06:31:31 46.699799 -124.7248 -163.0 0.0 0.0 -90.0 125.0 354.0
7D FN18C HH1 2013-09-03 09:13:00 2014-06-25 19:37:35 46.7001 -124.7248 -166.0 0.0 0.0 0.0 125.0 295.0
7D FN18C HH2 2013-09-03 09:13:00 2014-06-25 19:37:35 46.7001 -124.7248 -166.0 0.0 0.0 0.0 125.0 295.0
7D FN18C HHZ 2013-09-03 09:13:00 2014-06-25 19:37:35 46.7001 -124.7248 -166.0 0.0 0.0 -90.0 125.0 295.0
7D FN19C HH1 2013-08-31 12:22:00 2014-06-28 23:39:05 46.730099 -124.366798 -72.0 0.0 0.0 0.0 125.0 301.0
7D FN19C HH2 2013-08-31 12:22:00 2014-06-28 23:39:05 46.730099 -124.366798 -72.0 0.0 0.0 0.0 125.0 301.0
7D FN19C HHZ 2013-08-31 12:22:00 2014-06-28 23:39:05 46.730099 -124.366798 -72.0 0.0 0.0 -90.0 125.0 301.0
7D FS01B BH1 2012-09-02 23:59:00 2013-06-19 08:00:00 40.326801 -124.949203 -940.0 0.0 0.0 -90.0 50.0 290.0
7D FS01B BH2 2012-09-02 23:59:00 2013-06-19 08:00:00 40.326801 -124.949203 -940.0 0.0 0.0 -90.0 50.0 290.0
7D FS01B BHZ 2012-09-02 23:59:00 2013-06-19 08:00:00 40.326801 -124.949203 -940.0 0.0 0.0 -90.0 50.0 290.0
7D FS02B HH1 2012-09-13 19:46:00 2013-07-03 21:31:38 40.351101 -124.797997 -1402.8 0.0 0.0 0.0 125.0 293.0
7D FS02B HH2 2012-09-13 19:46:00 2013-07-03 21:31:38 40.351101 -124.797997 -1402.8 0.0 0.0 0.0 125.0 293.0
7D FS02B HHZ 2012-09-13 19:46:00 2013-07-03 21:31:38 40.351101 -124.797997 -1402.8 0.0 0.0 -90.0 125.0 293.0
